Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Black""5D%5D&sort_by=relevance&category_id=268124291205",Color,Black
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""White""5D%5D&sort_by=relevance&category_id=268124291205",Color,White
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Beige""5D%5D&sort_by=relevance&category_id=268124291205",Color,Beige
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Red""5D%5D&sort_by=relevance&category_id=268124291205",Color,Red
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Brown""5D%5D&sort_by=relevance&category_id=268124291205",Color,Brown
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Glitz""5D%5D&sort_by=relevance&category_id=268124291205",Color,Glitz
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Blue""5D%5D&sort_by=relevance&category_id=268124291205",Color,Blue
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Green""5D%5D&sort_by=relevance&category_id=268124291205",Color,Green
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Multi""5D%5D&sort_by=relevance&category_id=268124291205",Color,Multi
Clothing,Women,Western,Outerwear,Blazers,"https://api.fastsimon.com/categories_navigation?page_num=1&products_per_page=80&facets_required=1&with_product_attributes=true&request_source=v-next&src=v-next&UUID=777f83f8-820e-45d0-a08b-08c6b432b87a&uuid=777f83f8-820e-45d0-a08b-08c6b432b87a&store_id=21708465&api_type=json&narrow=%5B%5B""Color"",""Pink""5D%5D&sort_by=relevance&category_id=268124291205",Color,Pink
