Attr_Name,Attr_Value
Color,Black
Color,Beige
Color,Blue
Color,Brown
Color,White
Color,Multi
Color,Orange
Color,Animal Print
Color,Glitz
Color,Gray
Color,Leopard
Color,Red
Color,Burgundy
Color,Pink
Color,Taupe
Color,Gold
Color,Green
Color,Metallic
Type,Dresses
Type,One-Pieces
Type,Clutches
Type,Dress
Type,Sets
Style,Flowy
Style,Bodycon
Style,Button Up
Style,Ruched
Style,Denim
Style,Mesh
Style,Bubble
Style,Sweaters
Style,Jumpsuit
Style,Faux Leather
Style,Puff Sleeve
Style,Slip
Style,Corset
Style,Rompers
Style,Turtlenecks
Style,Cargo
Style,Velvet
Style,Vests
Style,Wide Leg
Sleeve Length,Sleeveless
Sleeve Length,Short Sleeve
Sleeve Length,Long Sleeve
Sleeve Length,Strapless
Length,Mini
Length,Midi
Length,Maxi
Customer Rating,1
Customer Rating,2
Customer Rating,3
Customer Rating,4
Customer Rating,5
