Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Counts
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22XXS%22&locale=en_US&pageNumber=2&pageSize=96,Size,XXS,53
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22XS%22&locale=en_US&pageNumber=2&pageSize=96,Size,XS,143
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22S%22&locale=en_US&pageNumber=2&pageSize=96,Size,S,187
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22M%22&locale=en_US&pageNumber=2&pageSize=96,Size,M,220
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22L%22&locale=en_US&pageNumber=2&pageSize=96,Size,L,189
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22XL%22&locale=en_US&pageNumber=2&pageSize=96,Size,XL,116
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22XXL%22&locale=en_US&pageNumber=2&pageSize=96,Size,XXL,36
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f10002_ntk_cs%3A%22XXXL%22&locale=en_US&pageNumber=2&pageSize=96,Size,XXXL,6
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%2200%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,00,4
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%220%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,0,43
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%222%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,2,142
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%224%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,4,186
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%226%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,6,217
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%228%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,8,184
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%2210%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,10,116
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%2212%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,12,35
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%2214%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,14,4
Clothing,Women,Western,Outerwear,Coats,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fcoats&facet=ads_f22539_ntk_cs%3A%2216%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,16,3
