Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Counts
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22XXS%22&locale=en_US&pageNumber=2&pageSize=96,Size,XXS,210
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22XS%22&locale=en_US&pageNumber=2&pageSize=96,Size,XS,364
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22S%22&locale=en_US&pageNumber=2&pageSize=96,Size,S,395
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22M%22&locale=en_US&pageNumber=2&pageSize=96,Size,M,399
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22L%22&locale=en_US&pageNumber=2&pageSize=96,Size,L,346
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22XL%22&locale=en_US&pageNumber=2&pageSize=96,Size,XL,234
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22XXL%22&locale=en_US&pageNumber=2&pageSize=96,Size,XXL,94
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10002_ntk_cs%3A%22XXXL%22&locale=en_US&pageNumber=2&pageSize=96,Size,XXXL,52
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%2200%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,00,43
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%220%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,0,190
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%222%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,2,360
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%224%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,4,394
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%226%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,6,397
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%228%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,8,345
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%2210%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,10,234
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%2212%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,12,93
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%2214%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,14,43
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f22539_ntk_cs%3A%2216%22&locale=en_US&pageNumber=2&pageSize=96,Clothing Size,16,15
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%2216ARLINGTON%22&locale=en_US&pageNumber=2&pageSize=96,Designer,16ARLINGTON,2
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%223.1+PHILLIP+LIM%22&locale=en_US&pageNumber=2&pageSize=96,Designer,3.1 PHILLIP LIM,7
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22A.L.C.%22&locale=en_US&pageNumber=2&pageSize=96,Designer,A.L.C.,12
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ACNE+STUDIOS%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ACNE STUDIOS,11
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AHLUWALIA%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AHLUWALIA,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AJE.%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AJE.,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AKRIS%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AKRIS,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALBERTA+FERRETTI%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALBERTA FERRETTI,9
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALESSANDRA+RICH%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALESSANDRA RICH,11
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALEX+MILL%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALEX MILL,7
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALEX+PERRY%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALEX PERRY,3
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALEXANDER+MCQUEEN%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALEXANDER MCQUEEN,8
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALEXANDER+WANG%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALEXANDER WANG,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALEXANDRE+VAUTHIER%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALEXANDRE VAUTHIER,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALICE+%2B+OLIVIA%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALICE + OLIVIA,29
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALICE+%2B+OLIVIA+JEANS%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALICE + OLIVIA JEANS,4
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ALTUZARRA%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ALTUZARRA,5
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AMANDA+WAKELEY%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AMANDA WAKELEY,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AMI+ALEXANDRE+MATTIUSSI%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AMI ALEXANDRE MATTIUSSI,2
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ANINE+BING%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ANINE BING,2
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22ANOTHER+TOMORROW%22&locale=en_US&pageNumber=2&pageSize=96,Designer,ANOTHER TOMORROW,5
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AREA%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AREA,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22AZ+FACTORY%22&locale=en_US&pageNumber=2&pageSize=96,Designer,AZ FACTORY,2
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BA%26SH%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BA&SH,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BALENCIAGA%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BALENCIAGA,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BALMAIN%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BALMAIN,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BEARE+PARK%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BEARE PARK,8
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BITE+STUDIOS%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BITE STUDIOS,4
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BOUGUESSA%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BOUGUESSA,5
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BOUTIQUE+MOSCHINO%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BOUTIQUE MOSCHINO,2
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BRANDON+MAXWELL%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BRANDON MAXWELL,1
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BRIONI%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BRIONI,6
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BRUNELLO+CUCINELLI%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BRUNELLO CUCINELLI,72
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BURBERRY%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BURBERRY,2
Clothing,Women,Western,Outerwear,Jackets,https://www.theoutnet.com/api/yoox/ton/search/resources/store/theoutnet_us/productview/byCategory?attrs=true&category=%2Fclothing%2Fjackets%2Fblazers&facet=ads_f10001_ntk_cs%3A%22BY+MALENE+BIRGER%22&locale=en_US&pageNumber=2&pageSize=96,Designer,BY MALENE BIRGER,12
