Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=23&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,23
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=24&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,24
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=25&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,25
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=26&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,26
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=27&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,27
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=28&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,28
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=29&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,29
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=30&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,30
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=31&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,31
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=32&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,32
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=33&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,33
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=size_filter&prefv1=34&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,34
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=denim_wash&prefv1=Black&start=0&sz=16&pageTypeContext=Search-Show,refinement-denim_wash,Black
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=denim_wash&prefv1=Color&start=0&sz=16&pageTypeContext=Search-Show,refinement-denim_wash,Color
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=denim_wash&prefv1=Dark&start=0&sz=16&pageTypeContext=Search-Show,refinement-denim_wash,Dark
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=denim_wash&prefv1=Light&start=0&sz=16&pageTypeContext=Search-Show,refinement-denim_wash,Light
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=denim_wash&prefv1=Medium&start=0&sz=16&pageTypeContext=Search-Show,refinement-denim_wash,Medium
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=rise&prefv1=High%20Rise&start=0&sz=16&pageTypeContext=Search-Show,refinement-rise,High Rise
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=rise&prefv1=Low%20Rise&start=0&sz=16&pageTypeContext=Search-Show,refinement-rise,Low Rise
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=rise&prefv1=Mid%20Rise&start=0&sz=16&pageTypeContext=Search-Show,refinement-rise,Mid Rise
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=length&prefv1=Cropped&start=0&sz=16&pageTypeContext=Search-Show,refinement-length,Cropped
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=length&prefv1=Standard&start=0&sz=16&pageTypeContext=Search-Show,refinement-length,Standard
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=length&prefv1=Long&start=0&sz=16&pageTypeContext=Search-Show,refinement-length,Long
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=leg&prefv1=Relaxed&start=0&sz=16&pageTypeContext=Search-Show,refinement-leg,Relaxed
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=leg&prefv1=Straight&start=0&sz=16&pageTypeContext=Search-Show,refinement-leg,Straight
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=leg&prefv1=Wide%20leg&start=0&sz=16&pageTypeContext=Search-Show,refinement-leg,Wide leg
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=fabric_type&prefv1=Stretch%20Denim&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Stretch Denim
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=fabric_type&prefv1=Lightweight%20Denim&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Lightweight Denim
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=fabric_type&prefv1=Rigid%20Denim&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Rigid Denim
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=readyToShip&prefv1=Ships%20right%20away&start=0&sz=16&pageTypeContext=Search-Show,refinement-readyToShip,Ships right away
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=sustainability_filter&prefv1=Organically%20grown&start=0&sz=16&pageTypeContext=Search-Show,refinement-sustainability_filter,Organically grown
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=sustainability_filter&prefv1=Recycled%20material&start=0&sz=16&pageTypeContext=Search-Show,refinement-sustainability_filter,Recycled material
Women,Clothing,Western,Bottomwear,Jeans,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=jeans&pmpt=qualifying&prefn1=sustainability_filter&prefv1=Regeneratively%20grown&start=0&sz=16&pageTypeContext=Search-Show,refinement-sustainability_filter,Regeneratively grown
