Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=XS&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XS
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=S&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,S
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=M&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,M
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=L&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,L
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=XL&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XL
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=1X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,1X
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=2X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,2X
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=3X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,3X
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=23&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,23
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=24&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,24
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=25&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,25
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=26&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,26
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=27&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,27
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=28&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,28
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=29&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,29
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=30&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,30
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=31&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,31
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=32&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,32
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=33&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,33
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=34&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,34
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=XS&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,XS
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=S&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,S
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=M&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,M
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=L&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,L
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=XL&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,XL
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=1X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,1X
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=2X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,2X
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=3X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_clothing,3X
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=23&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,23
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=24&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,24
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=25&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,25
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=26&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,26
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=27&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,27
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=28&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,28
Women,Clothing,Western,Bottomwear,Shorts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=shorts&pmpt=qualifying&prefn1=size_filter&prefv1=29&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_denim,29
