Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Topwear,Bodysuits,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=subclass&prefv1=Bodysuits&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,Shirts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=subclass&prefv1=Button%20Ups&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,T-Shirts,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=subclass&prefv1=Tees&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Black&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Black
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Ivory&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Ivory
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Green&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Green
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Blue&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Blue
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Purple&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Purple
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Pink&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Pink
Women,Clothing,Western,Topwear,Tops,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=tops&pmpt=qualifying&prefn1=parent_color&prefv1=Natural&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Natural
