Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=XXS&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XXS
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=XS&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XS
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=S&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,S
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=M&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,M
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=L&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,L
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=XL&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XL
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=1X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,1X
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=2X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,2X
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=3X&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,3X
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=XSP&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XSP
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=SP&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,SP
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=MP&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,MP
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=LP&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,LP
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=size_filter&prefv1=XLP&start=0&sz=16&pageTypeContext=Search-Show,refinement-size_filter,XLP
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Black&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Black
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Ivory&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Ivory
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Green&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Green
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Blue&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Blue
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Natural&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Natural
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Red&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Red
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Brown&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Brown
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Yellow&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Yellow
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=parent_color&prefv1=Grey&start=0&sz=16&pageTypeContext=Search-Show,refinement-color,Grey
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Knit&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Knit
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Denim&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Denim
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Wool&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Wool
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Twill&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Twill
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Leather&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Leather
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Linen&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Linen
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=fabric_type&prefv1=Deadstock&start=0&sz=16&pageTypeContext=Search-Show,refinement-fabric_type,Deadstock
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=readyToShip&prefv1=Ships%20right%20away&start=0&sz=16&pageTypeContext=Search-Show,refinement-readyToShip,Ships right away
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=silhouette&prefv1=Blazer&start=0&sz=16&pageTypeContext=Search-Show,refinement-silhouette,Blazer
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=silhouette&prefv1=Coat&start=0&sz=16&pageTypeContext=Search-Show,refinement-silhouette,Coat
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=silhouette&prefv1=Jacket&start=0&sz=16&pageTypeContext=Search-Show,refinement-silhouette,Jacket
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=print&prefv1=Animal&start=0&sz=16&pageTypeContext=Search-Show,refinement-print,Animal
Women,Clothing,Western,Outerwear,Outerwear,https://www.thereformation.com/on/demandware.store/Sites-reformation-us-Site/en_US/Search-ShowAjax?cgid=outerwear&pmpt=qualifying&prefn1=print&prefv1=Check&start=0&sz=16&pageTypeContext=Search-Show,refinement-print,Check
