Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Clothing,Western,Bottomwear,Bottomwear,color,Black,https://usa.tommy.com/en/women/clothing/bottoms/black?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Orange,https://usa.tommy.com/en/women/clothing/bottoms/orange?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Grey,https://usa.tommy.com/en/women/clothing/bottoms/grey?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Brown,https://usa.tommy.com/en/women/clothing/bottoms/brown?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Green,https://usa.tommy.com/en/women/clothing/bottoms/green?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Beige,https://usa.tommy.com/en/women/clothing/bottoms/beige?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Blue,https://usa.tommy.com/en/women/clothing/bottoms/blue?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,White,https://usa.tommy.com/en/women/clothing/bottoms/white?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Navy,https://usa.tommy.com/en/women/clothing/bottoms/navy?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Pink,https://usa.tommy.com/en/women/clothing/bottoms/pink?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,color,Ivory,https://usa.tommy.com/en/women/clothing/bottoms/ivory?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Bootcut Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Bootcut%20Fit
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Regular Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Regular%20Fit
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Relaxed Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Relaxed%20Fit
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Skinny Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Skinny%20Fit
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Slim Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Slim%20Fit
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Straight Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Straight%20Fit
Women,Clothing,Western,Bottomwear,Bottomwear,fit,Wide Leg Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514351&prefn1=fit&prefv1=Wide%20Leg%20Fit
