Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Blazers,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Blazers&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Bomber,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Bombers&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Lightweight Jackets,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Lightweight%20Jackets&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Overcoats,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Overcoats&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Parkas,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Parkas&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Peacoats,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Peacoats&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Puffers,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Puffers&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Shirt Jackets,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Shirt%20Jackets&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Trench Coats,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Trench%20Coats&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Vests,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Vests&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,style,Windbreakers,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483058&prefn1=silhouette&prefv1=Windbreakers&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Jackets & Coats,color,beige,https://usa.tommy.com/en/women/clothing/jackets/beige?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,black,https://usa.tommy.com/en/women/clothing/jackets/black?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,blue,https://usa.tommy.com/en/women/clothing/jackets/blue?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,brown,https://usa.tommy.com/en/women/clothing/jackets/brown?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,green,https://usa.tommy.com/en/women/clothing/jackets/green?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,grey,https://usa.tommy.com/en/women/clothing/jackets/grey?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,navy,https://usa.tommy.com/en/women/clothing/jackets/navy?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,pink,https://usa.tommy.com/en/women/clothing/jackets/pink?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,white,https://usa.tommy.com/en/women/clothing/jackets/white?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Jackets & Coats,color,yellow,https://usa.tommy.com/en/women/clothing/jackets/yellow?srule=Featured_New+Badge&page=0&isRefinement=true
