Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Red,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/red?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Black,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/black?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Grey,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/grey?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Green,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/green?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Beige,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/beige?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Blue,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/blue?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,White,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/white?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Navy,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/navy?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Pink,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/pink?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,color,Ivory,https://usa.tommy.com/en/women/clothing/sweatshirts-sweatpants/ivory?srule=Featured_New+Badge&page=0&isRefinement=true
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,fit,Oversized Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483062&prefn1=fit&prefv1=Oversized%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,fit,Regular Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483062&prefn1=fit&prefv1=Regular%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,fit,Relaxed Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483062&prefn1=fit&prefv1=Relaxed%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Outerwear,Sweatshirts & Sweatpants,sleeve_length,Long Sleeves,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_18483062&prefn1=sleeveType&prefv1=Long%20Sleeve&srule=Featured_New%20Badge
