Attr_Name,Attr_Value
Color,Black
Color,Blue
Color,Grey
Color,White
Color,Green
Color,Red
Color,Beige
Color,Brown
Color,Purple
Color,Animal
Color,Pink
Color,Silver
Length,Mini
Length,Maxi
Length,Midi
Sleeve,Sleeveless
Sleeve,Short Sleeve
Sleeve,Long Sleeve
Sleeve,Strapless
Sleeve,3/4 Sleeve
Style,A-Line
Style,Bodycon
Style,Printed
Style,Ruched
Style,Ruffle + Tiered
Style,Shift + Babydoll
Style,Cut Out
Style,Drop Waist
Style,Asymmetrical
Style,Fit + Flare
Style,Shirt Dress
Style,Tie-Back
Style,Bubble Hem
Style,Bustier + Corset
Style,Button-Down
Style,Slips
Style,Wrap
Neckline,Off-The-Shoulder
Neckline,Collared
Neckline,V-Neck
Neckline,Sweetheart
Neckline,Boat
Neckline,Crew Neck
Neckline,Plunging
Neckline,Turtleneck + Mock Neck
Neckline,Scoop Neck
Neckline,Square Neck
Neckline,Hooded
Neckline,One Shoulder
Neckline,Cowl Neck
Neckline,Straight Neck
Material,Cotton
Material,Mesh
Material,Sequin + Shine
Material,Sweater
Material,Velvet
Material,Lace
Material,Satin
Material,Chiffon
Material,Crochet
Material,Denim
Material,Rayon
Material,Tulle
Occasion,Casual
Occasion,Going Out
Occasion,Special Occasion
Occasion,Going Out + Party
