Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Refinement,Ref_Value
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Style=Oversized,Style,Oversized,tile.product.facets.silhouettes,Oversized
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Style=Cropped,Style,Cropped,tile.product.facets.silhouettes,Cropped
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Style=Fitted,Style,Fitted,tile.product.facets.silhouettes,Fitted
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Style=Zip-Up,Style,Zip-Up,tile.product.facets.silhouettes,Zip-Up
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Style=Baby Tees,Style,Baby Tees,tile.product.facets.silhouettes,Baby Tees
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=grey,Color,Grey,visualVariants.colorwayNames,grey
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=black,Color,Black,visualVariants.colorwayNames,black
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=blue,Color,Blue,visualVariants.colorwayNames,blue
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=white,Color,White,visualVariants.colorwayNames,white
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=green,Color,Green,visualVariants.colorwayNames,green
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=red,Color,Red,visualVariants.colorwayNames,red
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=beige,Color,Beige,visualVariants.colorwayNames,beige
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=yellow,Color,Yellow,visualVariants.colorwayNames,yellow
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=brown,Color,Brown,visualVariants.colorwayNames,brown
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=pink,Color,Pink,visualVariants.colorwayNames,pink
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=purple,Color,Purple,visualVariants.colorwayNames,purple
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=orange,Color,Orange,visualVariants.colorwayNames,orange
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=gold,Color,Gold,visualVariants.colorwayNames,gold
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=maroon,Color,Maroon,visualVariants.colorwayNames,maroon
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Color=mint,Color,Mint,visualVariants.colorwayNames,mint
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/graphic-tees-for-women?page=3&Sleeve=Short Sleeve,Sleeve,Short Sleeve,tile.product.facets.sleeve,Short Sleeve
