Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Refinement,Ref_Value
Clothing,Women,Western,Topwear,Blouses,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Blouses,__,__,tile.product.facets.silhouettes,Blouses
Clothing,Women,Western,Topwear,Bodysuits,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Bodysuit,__,___,tile.product.facets.silhouettes,Bodysuit
Clothing,Women,Western,Topwear,Shirts,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Button-Downs,__,___,tile.product.facets.silhouettes,Button-Downs
Clothing,Women,Western,Topwear,T-Shirts,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Polos,Style,Polos,tile.product.facets.silhouettes,Polos
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Oversized,Style,Oversized,tile.product.facets.silhouettes,Oversized
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Cropped,Style,Cropped,tile.product.facets.silhouettes,Cropped
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Fitted,Style,Fitted,tile.product.facets.silhouettes,Fitted
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Pullovers,Style,Pullovers,tile.product.facets.silhouettes,Pullovers
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Cardigans,Style,Cardigans,tile.product.facets.silhouettes,Cardigans
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Basic,Style,Basic,tile.product.facets.silhouettes,Basic
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Zip-Up,Style,Zip-Up,tile.product.facets.silhouettes,Zip-Up
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Flannels,Style,Flannels,tile.product.facets.silhouettes,Flannels
Clothing,Women,Western,Topwear,Tops,https://www.urbanoutfitters.com/womens-tops?page=3&Style=Henleys,Style,Henleys,tile.product.facets.silhouettes,Henleys
