Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Refinement,Ref_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=black,Color,Black,visualVariants.colorwayNames,black
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=white,Color,White,visualVariants.colorwayNames,white
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=blue,Color,Blue,visualVariants.colorwayNames,blue
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=green,Color,Green,visualVariants.colorwayNames,green
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=beige,Color,Beige,visualVariants.colorwayNames,beige
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=pink,Color,Pink,visualVariants.colorwayNames,pink
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=assorted,Color,Assorted,visualVariants.colorwayNames,assorted
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=red,Color,Red,visualVariants.colorwayNames,red
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=brown,Color,Brown,visualVariants.colorwayNames,brown
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=purple,Color,Purple,visualVariants.colorwayNames,purple
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=grey,Color,Grey,visualVariants.colorwayNames,grey
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=animal,Color,Animal,visualVariants.colorwayNames,animal
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=orange,Color,Orange,visualVariants.colorwayNames,orange
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=yellow,Color,Yellow,visualVariants.colorwayNames,yellow
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=metallic,Color,Metallic,visualVariants.colorwayNames,metallic
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=multi,Color,Multi,visualVariants.colorwayNames,multi
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=gold,Color,Gold,visualVariants.colorwayNames,gold
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=silver,Color,Silver,visualVariants.colorwayNames,silver
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.urbanoutfitters.com/dresses?page=3&Color=mint,Color,Mint,visualVariants.colorwayNames,mint
